Year,Arabica (in MT),Arabica %,Robusta (in MT),Robusta %,Total (in MT)
1950-1951,15511,82,3382,18,18893
1960-1961,39526,58,28643,42,68169
1970-1971,58348,53,51883,47,110231
1980-1981,61262,52,57384,48,118646
1990-1991,78311,46,91415,54,169726
1991-1992,88320,49,91680,51,180000
1992-1993,73120,43,96275,57,169395
1993-1994,98300,46,113700,54,212000
1994-1995,79000,44,101100,56,180100
1995-1996,103250,46,119750,54,223000
1996-1997,90450,44,114550,56,205000
1997-1998,99300,43,129000,57,228300
1998-1999,97000,37,168000,63,265000
1999-2000,119000,41,173000,59,292000
2000-2001,104400,35,196800,65,301200
2001-2002,121050,40,179550,60,300600
2002-2003,102125,37,173150,63,275275
2003-2004,101950,38,168550,62,270500
2004-2005,103400,38,172100,62,275500
2005-2006,94000,34,180000,66,274000
2006-2007,99700,35,188300,65,288000
2007-2008,92500,35,169500,65,262000
2008-2009,79500,30,182800,70,262300
2009-2010,94600,33,195000,67,289600
2010-2011,94140,31,207860,69,302000
2011-2012,101500,32,212500,68,314000
2012-2013,98600,31,219600,69,318200
2013-2014,102200,34,202300,66,304500
2014-2015,98000,30,229000,70,327000
2015-2016,103500,30,244500,70,348000
2016-2017,95000,30,217000,70,312000
2017-2018,95000,30,221000,70,316000
2018-2019,95000,30,224500,70,319500
2019-2020,87000,29,211000,71,298000